"Konto","Beschreibung","Letzte Buchung","Eröffnungsbilanzwerte","Summe für 01.01.2026 - 31.12.2026","Summe per 31.12.2026","Saldo per 31.12.2026"
"Aktiva","Passiva","Soll","Haben","Soll","Haben","Soll","Haben"
"1","AKTIVEN","","","","","","","","",""
"10","UMLAUFSVERMÖGEN","","","","","","","","",""
"60","RAUMAUFWAND","","","","","","76'933.75","","76'933.75",""
"6000","Miete","","","","","","76'933.75","","76'933.75",""
"61","ALLGEMEINE BETRIEBSKOSTEN","","","","","","","","",""
"63","SACHVERSICHERUNGEN, ABGABEN, GEBÜHREN, BEWILLIGUNGEN","","","","","","","","",""
"64","ENERGIE- UND ENTSORGUNGSAUFWAND","","","","","","3'346.15","","3'346.15",""
"6400","Strom, Gas, Wasser","","","","","","3'327.85","","3'327.85",""
"6460","Entsorgungsaufwand","","","","","","18.30","","18.30",""
"65","VERWALTUNGS- UND KOMMUNIKATIONSAUFWAND","","","","5'784.20","","15'384.55","","15'384.55",""
"6510","Telefon","","","","","","830.87","","830.87",""
"6511","Internet und Serverhousing","26.01.2026","","","5'784.20","","14'553.68","","14'553.68",""
"66","WERBEAUFWAND","","","","","","215.40","","215.40",""
"6600","Werbeaufwand","","","","","","215.40","","215.40",""
"67","ÜBRIGER BETRIEBSAUFWAND","","","","","","3'429.80","100.00","3'329.80",""
"6700","Übriger Betriebsaufwand","","","","","","3'429.80","100.00","3'329.80",""
"68","ABSCHREIBUNGEN","","","","","","10'000.00","","10'000.00",""
"6800","Abschreibungen","","","","","","10'000.00","","10'000.00",""
"69","FINANZERFOLG","","","","0.50","0.01","258.39","14.63","258.39","14.63"
"6900","Kontospesen und Finanzaufwand","26.01.2026","","","0.46","","258.18","","258.18",""
"6943","Rundungsaufwand","25.01.2026","","","0.04","","0.21","","0.21",""
"6950","Finanzertrag","","","","","","","14.44","","14.44"
"6953","Rundungsertrag","29.01.2026","","","","0.01","","0.19","","0.19"
"8","AUSSERORDENTLICHER UND BETRIEBSFREMDER ERFOLG, STEUERN","","","","","","","","",""
"85","AUSSERORDENTLICHER, EINMALIGER AUFWAND UND ERTRAG","","","","","","","18'455.00","","18'455.00"
"8510","Ausserordentlicher Ertrag","","","","","","","18'455.00","","18'455.00"
"89","DIREKTE STEUERN","","","","","","200.00","","200.00",""
"8900","Steuern","","","","","","200.00","","200.00",""
"9","ABSCHLUSS","","","","","","","","",""
"90","ERFOLGSRECHNUNG","","","","","","","","",""
"91","BILANZ","","","","","","","","",""
"92","GEWINNVERWENDUNG","","","","","","","","",""
"99","HILFSKONTEN NEBENBÜCHER","","","","","","","","",""
"990","Verrechnungen","","","","","","2'294.00","2'294.00","",""
"9900","Verrechnungen","","","","","","2'294.00","2'294.00","",""
"991","SAMMEL- UND FEHLBUCHUNGEN","","","","","","","","",""
"","","","0.00","0.00","52'563.30","52'563.30","1'924'676.08","1'924'676.00","719'324.02","719'323.94"
