"Konto","Beschreibung (Klick öffnet einzelne Kontendetails)","Soll","Haben"
"8510","Ausserordentlicher Ertrag","","29'049.11"
"8700","Periodenfremder Aufwand","2'790.07",""
"89","DIREKTE STEUERN"
"8900","Steuern","4'878.60",""
"9","ABSCHLUSS"
"90","ERFOLGSRECHNUNG"
"91","BILANZ"
"9100","Eröffnungsbilanz 2007","",""
"9106","Eröffnungsbilanz 2013","",""
"9107","Eröffnungsbilanz 2014","",""
"9108","Eröffnungsbilanz 2015","",""
"9110","Eröffnungsbilanz 2017","1'534.00",""
"9111","Eröffnungsbilanz 2018","23'982.58",""
"9113","Eröffnungsbilanz 2020","4'802.32",""
"9114","Eröffnungsbilanz 2021","","2'069.85"
"9115","Eröffnungsbilanz 2022","","2'678.52"
"9116","Eröffnungsbilanz 2023","","493.35"
"9155","Schlussbilanz 2012","226'207.29",""
"9156","Schlussbilanz 2013","","126.01"
"9157","Schlussbilanz 2014","","90.60"
"9158","Schlussbilanz 2015","","254.51"
"92","GEWINNVERWENDUNG"
"99","HILFSKONTEN NEBENBÜCHER"
"990","Verrechnungen"
"9900","Verrechnungen","760.00",""
"991","SAMMEL- UND FEHLBUCHUNGEN"
