"Artikelnummer","Typ","Artikelbeschreibung","Bemerkungen","Warengruppe","Standard-Lager","Standard-Lagerplatz","Lieferant","Lieferanten-Art-Nr.","Lagermenge","Mindestlagerbestand","Einheit","Listenpreis","Gesamt","Verkaufspreis","Gesamt","Einkaufspreis","Erzeugnis-Einkaufspreis","Gesamt","Gewicht","Grafik","Zeichnung","Mikrofilm","Buchungsdatum Beleg","Seriennummer","Lieferdatum","EAN","Projektnummer","Projektbeschreibung","Erfassungsdatum","Shopartikel","Preisgruppe keine Preisgruppe","Preisgruppe 50 CHF pro Stunde","Preisgruppe 100 CHF pro Stunde","BesitzerIn","Hersteller","Länge (mm)","Breite (mm)","Höhe (mm)","Aktion falls nicht vorhanden (nur Info)","Kurzbeschreibung","Langtext","Hauptkategorien A (entsprechen den Kategorien im Shop)","Veröffentlicht Status","Unterkategorien A (entsprechen den Kategorien im Shop)","Hauptkategorien B (entsprechen den Kategorien im Shop)","Unterkategorien B (entsprechen den Kategorien im Shop)"
"P9","W","10/100 Mbit Switch","","Hardwareteile neu","","","","","0","0","Stck","0.00","0.00","15.00","0.00","0.00","0.00","0.00","0 kg","","","","02.03.2011","","","","","","09.08.2007","nein","0.00","0.00","0.00","","","","","","","","","","","","",""
"","","","","","","","","","","","","","0.00","","0.00","","","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"001608","W","10/100Mbps 3-port Print Server","","","","","","","0","0","Stck","0.00","0.00","15.00","0.00","0.00","0.00","0.00","0.77 kg","","","","","","","","","","06.11.2019","ja","0.00","0.00","0.00","","unbekannt","120","221","31","","","","","","","",""
"","","","","","","","","","","","","","0.00","","0.00","","","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"D14","D","10.10.2022 Schnelleres Speichern von Lieferscheinen programmiert","","Dienstleistung","","","","","0","0","Std","0.00","0.00","100.00","0.00","0.00","0.00","0.00","0 kg","","","","28.10.2022","","","","","","29.09.2007","nein","0.00","0.00","0.00","","","","","","","","","","","","",""
"","","","","","","","","","","","","","0.00","","0.00","","","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"D12","D","10.6.2024 Kalender-Freigabe und Rechte setzen für Jan Roduner","","Dienstleistung (Stunden)","","","","","0","0","Std","0.00","0.00","100.00","0.00","0.00","0.00","0.00","0 kg","","","","24.07.2024","","","","","","29.09.2007","nein","0.00","0.00","0.00","","","","","","","","","","","","",""
"","","","","","","","","","","","","","0.00","","0.00","","","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"P12","W","1076-6319 Watt/1076-6318 Watt DLP projektor DMD chip für Benq MP612C","","Zubehör","","","","","0","0","Stck","0.00","0.00","193.55","0.00","16.81","0.00","0.00","0 kg","","","","29.09.2017","","","","","","17.08.2007","nein","0.00","0.00","0.00","","","","","","","","","","","","",""
"P12","W","1076-6319 Watt/1076-6318 Watt DLP projektor DMD chip für Benq MP612C","","Zubehör","","","","","0","0","Stck","0.00","0.00","193.55","0.00","16.81","0.00","0.00","0 kg","","","","26.10.2017","","","","","","17.08.2007","nein","0.00","0.00","0.00","","","","","","","","","","","","",""
