"Artikelnummer","Typ","Artikelbeschreibung","Bemerkungen","Warengruppe","Standard-Lager","Standard-Lagerplatz","Lieferant","Lieferanten-Art-Nr.","Lagermenge","Mindestlagerbestand","Einheit","Listenpreis","Gesamt","Verkaufspreis","Gesamt","Einkaufspreis","Erzeugnis-Einkaufspreis","Gesamt","Gewicht","Grafik","Zeichnung","Mikrofilm","Buchungsdatum Beleg","Seriennummer","Lieferdatum","EAN","Projektnummer","Projektbeschreibung","Erfassungsdatum","Shopartikel","Preisgruppe keine Preisgruppe","Preisgruppe 50 CHF pro Stunde","Preisgruppe 100 CHF pro Stunde","BesitzerIn","Hersteller","Länge (mm)","Breite (mm)","Höhe (mm)","Aktion falls nicht vorhanden (nur Info)","Kurzbeschreibung","Langtext","Hauptkategorien A (entsprechen den Kategorien im Shop)","Veröffentlicht Status","Unterkategorien A (entsprechen den Kategorien im Shop)","Hauptkategorien B (entsprechen den Kategorien im Shop)","Unterkategorien B (entsprechen den Kategorien im Shop)"
"002573","W","Acer Aspire 5733","","","","","","","0","0","Stck","0.00","0.00","250.00","0.00","0.00","0.00","0.00","2.6 kg","","","","","","","","","","06.11.2019","ja","0.00","0.00","0.00","","Acer","260","390","40","","","","","","","",""
"K0837","W","Acer Aspire 5733","S/N XLRJW02033118314AD1601","Kundengerät","","","","","0","0","Stck","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0 kg","","","","19.11.2021","XLRJW02033118314AD1601","","","","","05.01.2022","nein","0.00","0.00","0.00","Keinath Daniel","","","","","","","","","","","",""
"K0837","W","Acer Aspire 5733","S/N XLRJW02033118314AD1601","Kundengerät","","","","","0","0","Stck","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0 kg","","","","19.10.2023","XLRJW02033118314AD1601","","","","","05.01.2022","nein","0.00","0.00","0.00","Keinath Daniel","","","","","","","","","","","",""
"K0837","W","Acer Aspire 5733","S/N XLRJW02033118314AD1601","Kundengerät","","","","","0","0","Stck","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0 kg","","","","15.11.2023","XLRJW02033118314AD1601","","","","","05.01.2022","nein","0.00","0.00","0.00","Keinath Daniel","","","","","","","","","","","",""
"","","","","","","","","","","","","","0.00","","0.00","","","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"K0143","W","Acer Aspire 5741G","Acer Aspire 5741G mit Laptop Tasche und Netzgerät SN: LXPSZ02026022355A11601","Kundengerät","","","","","0","0","Stck","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0 kg","","","","11.08.2015","","","","","","11.08.2015","nein","0.00","0.00","0.00","","","","","","","","","","","","",""
"K0143","W","Acer Aspire 5741G","Acer Aspire 5741G mit Laptop Tasche und Netzgerät SN: LXPSZ02026022355A11601","Kundengerät","","","","","0","0","Stck","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0 kg","","","","20.08.2015","","","","","","11.08.2015","nein","0.00","0.00","0.00","","","","","","","","","","","","",""
"","","","","","","","","","","","","","0.00","","0.00","","","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"K0894","W","Acer Aspire 5750G","S/N: LXRMU022021410B9813400","Kundengerät","","","","","0","0","Stck","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0 kg","","","","18.07.2022","LXRMU022021410B9813400","","","","","18.07.2022","nein","0.00","0.00","0.00","","","","","","","","","","","","",""
"","","","","","","","","","","","","","0.00","","0.00","","","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"K0985","W","Acer Aspire 5750 (P5WE0)","S/N LXRMU0209713232B2D1601 Kein Zubehör","Kundengerät","","","","","0","0","Stck","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0 kg","","","","20.07.2023","LXRMU0209713232B2D1601","","","","","20.07.2023","nein","0.00","0.00","0.00","","","","","","","","","","","","",""
"K0985","W","Acer Aspire 5750 (P5WE0)","S/N LXRMU0209713232B2D1601 Kein Zubehör","Kundengerät","","","","","0","0","Stck","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0 kg","","","","04.08.2023","LXRMU0209713232B2D1601","","","","","20.07.2023","nein","0.00","0.00","0.00","","","","","","","","","","","","",""
"","","","","","","","","","","","","","0.00","","0.00","","","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"K0523","W","Acer Aspire 5810T","S/N: LXPDU0X1079210E5482000","Kundengerät","","","","","0","0","Stck","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0 kg","","","","07.08.2018","","","","","","07.08.2018","nein","0.00","0.00","0.00","","","","","","","","","","","","",""
"K0523","W","Acer Aspire 5810T","S/N: LXPDU0X1079210E5482000","Kundengerät","","","","","0","0","Stck","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0 kg","","","","17.08.2018","","","","","","07.08.2018","nein","0.00","0.00","0.00","","","","","","","","","","","","",""
"","","","","","","","","","","","","","0.00","","0.00","","","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"003938","W","Acer Aspire 5820T, 512 GB Festplatte, 8 GB Ram, MX Linux 19 installiert","","","","","","","0","0","Stck","0.00","0.00","320.00","0.00","0.00","0.00","0.00","3.1 kg","","","","15.01.2020","10102182625","","","","","20.11.2019","ja","0.00","0.00","0.00","","Acer","250","379","31","","","","","","","",""
"","","","","","","","","","","","","","0.00","","0.00","","","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"005263","W","Acer Aspire 5920G, LCD 15.4""","","","","","","","1","0","Stck","0.00","0.00","240.00","240.00","0.00","0.00","0.00","4.5 kg","","","","","","","","","","21.02.2023","ja","0.00","0.00","0.00","","Acer","275","365","40","","","","","","","",""
"","","","","","","","","","","","","","0.00","","240.00","","","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"005787","W","Acer Aspire 5942 KAQB0, 15""","","","","","","","1","0","Stck","0.00","0.00","150.00","150.00","0.00","0.00","0.00","3.5 kg","","","","","","","","","","20.07.2023","ja","0.00","0.00","0.00","","Acer","280","382","43","","","","","","","",""
"","","","","","","","","","","","","","0.00","","150.00","","","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"005931","W","Acer Aspire 6530","","","","","","","1","0","Stck","0.00","0.00","0.00","0.00","0.00","0.00","0.00","3.2 kg","","","","","","","","","","16.09.2023","ja","0.00","0.00","0.00","","Acer","380","280","30","","","","","","","",""
"","","","","","","","","","","","","","0.00","","0.00","","","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"003007","W","Acer Aspire 7520","","","","","","","0","1","Stck","0.00","0.00","250.00","0.00","0.00","0.00","0.00","5 kg","","","","","","","","","","19.01.2019","ja","0.00","0.00","0.00","","Acer","490","100","340","","","","","","","",""
"","","","","","","","","","","","","","0.00","","0.00","","","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"K0261","W","Acer Aspire 7736zg","Laptop Acer Aspire 7736zg mit Netzteil","Kundengerät","","","","","0","0","Stck","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0 kg","","","","30.08.2016","","","","","","30.08.2016","nein","0.00","0.00","0.00","Frölich Alf","","","","","","","","","","","",""
"","","","","","","","","","","","","","0.00","","0.00","","","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"K0454","W","Acer Aspire 7741G","Laptop Acer Aspire 7741G SN: LXPXC02073039000AF52000 mit Ladegerät","Kundengerät","","","","","0","0","Stck","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0 kg","","","","14.02.2018","","","","","","14.02.2018","nein","0.00","0.00","0.00","","","","","","","","","","","","",""
"K0454","W","Acer Aspire 7741G","Laptop Acer Aspire 7741G SN: LXPXC02073039000AF52000 mit Ladegerät","Kundengerät","","","","","0","0","Stck","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0 kg","","","","19.12.2018","","","","","","14.02.2018","nein","0.00","0.00","0.00","","","","","","","","","","","","",""
"","","","","","","","","","","","","","0.00","","0.00","","","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"K0031","W","Acer Aspire 8920G","Liteon Netzteil 19V 4.74A mit Stromkabel mitgeliefert","Kundengerät","","","","","0","0","Stck","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0 kg","","","","","","","","","","20.11.2014","nein","0.00","0.00","0.00","","","","","","","","","","","","",""
"","","","","","","","","","","","","","0.00","","0.00","","","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"K0884","W","Acer Aspire A515-54","S/N NXHN2EZ0020110219E7600","Kundengerät","","","","","0","0","Stck","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0 kg","","","","27.06.2022","NXHN2EZ0020110219E7600","","","","","27.06.2022","nein","0.00","0.00","0.00","Hefti Ramona","","","","","","","","","","","",""
"","","","","","","","","","","","","","0.00","","0.00","","","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"K0717","W","Acer Aspire A515-54 series","Model No. N18Q13 S/N: NXHN2EZ00193206FAB7600 Zubehör: Netzteil und Rucksack","Kundengerät","","","","","0","0","Stck","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0 kg","","","","02.12.2019","","","","","","03.12.2019","nein","0.00","0.00","0.00","Neininger Peter","","","","","","","","","","","",""
"","","","","","","","","","","","","","0.00","","0.00","","","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"K0472","W","Acer Aspire D250-Bb","","Kundengerät","","","","","0","0","Stck","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0 kg","","","","20.03.2018","","","","","","20.03.2018","nein","0.00","0.00","0.00","","","","","","","","","","","","",""
"","","","","","","","","","","","","","0.00","","0.00","","","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"K0544","W","AcerAspire E1","S/N: NXMGREZ01840400B523400","Kundengerät","","","","","0","0","Stck","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0 kg","","","","02.10.2018","","","","","","02.10.2018","nein","0.00","0.00","0.00","","","","","","","","","","","","",""
"","","","","","","","","","","","","","0.00","","0.00","","","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"K0287","W","Acer Aspire E15","S/N: NXML9EZ0034480181A3400 ohne Netzteil","Kundengerät","","","","","0","0","Stck","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0 kg","","","","22.08.2017","","","","","","22.08.2017","nein","0.00","0.00","0.00","Wildberger France","","","","","","","","","","","",""
"K0287","W","Acer Aspire E15","S/N: NXML9EZ0034480181A3400 ohne Netzteil","Kundengerät","","","","","0","0","Stck","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0 kg","","","","23.08.2017","","","","","","22.08.2017","nein","0.00","0.00","0.00","Wildberger France","","","","","","","","","","","",""
"K0287","W","Acer Aspire E15","S/N: NXML9EZ0034480181A3400 ohne Netzteil","Kundengerät","","","","","0","0","Stck","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0 kg","","","","07.03.2023","NXML9EZ0034480181A3400","","","","","22.08.2017","nein","0.00","0.00","0.00","Wildberger France","","","","","","","","","","","",""
"K0287","W","Acer Aspire E15","S/N: NXML9EZ0034480181A3400 ohne Netzteil","Kundengerät","","","","","0","0","Stck","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0 kg","","","","16.03.2023","NXML9EZ0034480181A3400","","","","","22.08.2017","nein","0.00","0.00","0.00","Wildberger France","","","","","","","","","","","",""
"K0638","W","Acer Aspire E15","An arbeitsplatz von Bruno Meier arudin 24.5.2019 Ursprünglich mit falscher Artikelnummer K609 (dreistellige statt vierstellige Zahl) gespeichert und da K0609 schon für anderes Gerät vergeben war, mit neuer Artikelnummer K0638 gespeichert.","Kundengerät","","","","","0","0","Stck","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0 kg","","","","12.02.2019","NXMVHEZ0366241F2EB7600","","","","","12.02.2019","nein","0.00","0.00","0.00","","","","","","","","","","","","",""
"","","","","","","","","","","","","","0.00","","0.00","","","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"K0206","W","Acer Aspire E1-531","","Kundengerät","","","","","0","0","Stck","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0 kg","","","","01.03.2016","","","","","","01.03.2016","nein","0.00","0.00","0.00","","","","","","","","","","","","",""
"","","","","","","","","","","","","","0.00","","0.00","","","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"k0726","W","ACER Aspire E1-571","inkl. Netzteil S/N NXM09EZ0153020962F1601","Kundengerät","","","","","0","0","Stck","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0 kg","","","","15.09.2020","","","","","","15.09.2020","nein","0.00","0.00","0.00","","","","","","","","","","","","",""
"k0726","W","ACER Aspire E1-571","inkl. Netzteil S/N NXM09EZ0153020962F1601","Kundengerät","","","","","0","0","Stck","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0 kg","","","","21.10.2020","","","","","","15.09.2020","nein","0.00","0.00","0.00","","","","","","","","","","","","",""
"","","","","","","","","","","","","","0.00","","0.00","","","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"K0492","W","Acer Aspire E17 E5-721-265R","","Kundengerät","","","","","0","0","Stck","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0 kg","","","","23.05.2018","","","","","","23.05.2018","nein","0.00","0.00","0.00","Meier René","","","","","","","","","","","",""
"","","","","","","","","","","","","","0.00","","0.00","","","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"004501","W","Acer Aspire E1, Q5WPH","","","","","","","1","0","Stck","0.00","0.00","170.00","170.00","0.00","0.00","0.00","3.5 kg","","","","","","","","","","15.03.2022","ja","0.00","0.00","0.00","","Acer","255","380","33","","","","","","","",""
"","","","","","","","","","","","","","0.00","","170.00","","","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"K0189","W","Acer Aspire E1-Z5WE3","","Kundengerät","","","","","0","0","Stck","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0 kg","","","","24.02.2016","","","","","","04.02.2016","nein","0.00","0.00","0.00","","","","","","","","","","","","",""
"K0189","W","Acer Aspire E1-Z5WE3","","Kundengerät","","","","","0","0","Stck","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0 kg","","","","26.02.2016","","","","","","04.02.2016","nein","0.00","0.00","0.00","","","","","","","","","","","","",""
"","","","","","","","","","","","","","0.00","","0.00","","","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"K0189","W","Acer Aspire E5-521-27WC","","Kundengerät","","","","","0","0","Stck","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0 kg","","","","04.02.2016","","","","","","04.02.2016","nein","0.00","0.00","0.00","","","","","","","","","","","","",""
"","","","","","","","","","","","","","0.00","","0.00","","","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"006644","W","Acer Aspire E5-575, FHD","","","","","","","1","0","Stck","0.00","0.00","0.00","0.00","0.00","0.00","0.00","2 kg","","","","","","","","","","08.08.2024","ja","0.00","0.00","0.00","","Acer","260","380","30","","","","","","","",""
"","","","","","","","","","","","","","0.00","","0.00","","","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"K0897","W","Acer aspire e5-773g","SN:NXG9WEZ0025511072A6600 mit netzteil","Kundengerät","","","","","0","0","Stck","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0 kg","","","","11.08.2022","","","","","","11.08.2022","nein","0.00","0.00","0.00","","","","","","","","","","","","",""
"K0897","W","Acer aspire e5-773g","SN:NXG9WEZ0025511072A6600 mit netzteil","Kundengerät","","","","","0","0","Stck","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0 kg","","","","01.12.2022","","","","","","11.08.2022","nein","0.00","0.00","0.00","","","","","","","","","","","","",""
"","","","","","","","","","","","","","0.00","","0.00","","","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"K0123","W","Acer Aspire ES1-111","","Kundengerät","","","","","0","0","Stck","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0 kg","","","","08.05.2015","","","","","","08.05.2015","nein","0.00","0.00","0.00","","","","","","","","","","","","",""
"K0123","W","Acer Aspire ES1-111","","Kundengerät","","","","","0","0","Stck","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0 kg","","","","12.05.2015","","","","","","08.05.2015","nein","0.00","0.00","0.00","","","","","","","","","","","","",""
"","","","","","","","","","","","","","0.00","","0.00","","","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"K0708","W","Acer Aspire ES1 331-CON3","S/N: NXG18EZ002535026646600 Zubehör: Netzteil mit Kabel","Kundengerät","","","","","0","0","Stck","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0 kg","","","","11.11.2019","","","","","","11.11.2019","nein","0.00","0.00","0.00","Gallotti Maria","","","","","","","","","","","",""
"K0708","W","Acer Aspire ES1 331-CON3","S/N: NXG18EZ002535026646600 Zubehör: Netzteil mit Kabel","Kundengerät","","","","","0","0","Stck","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0 kg","","","","27.12.2019","","","","","","11.11.2019","nein","0.00","0.00","0.00","Gallotti Maria","","","","","","","","","","","",""
"","","","","","","","","","","","","","0.00","","0.00","","","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"K0397","W","Acer Aspire ES 15","Seriennummer: NXGFTEZ00370402ADE3400 Zubehör: Netzteil und Kabel, Setup-Guide","Kundengerät","","","","","0","0","Stck","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0 kg","","","","10.10.2017","NXGFTEZ00370402ADE3400","","","","","12.10.2017","nein","0.00","0.00","0.00","Hofstetter Ari","","","","","","","","","","","",""
"","","","","","","","","","","","","","0.00","","0.00","","","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"K0683","W","Acer Aspire F 15","mit Netzteil, kein Original","Kundengerät","","","","","0","0","Stck","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0 kg","","","","10.09.2019","","","","","","10.09.2019","nein","0.00","0.00","0.00","","","","","","","","","","","","",""
"","","","","","","","","","","","","","0.00","","0.00","","","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"006229","W","Acer Aspire GX-781","","","","","","","1","0","Stck","0.00","0.00","0.00","0.00","0.00","0.00","0.00","10 kg","","","","","","","","","","09.02.2024","ja","0.00","0.00","0.00","","Acer","430","175","370","","","","","","","",""
"","","","","","","","","","","","","","0.00","","0.00","","","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"D19","D","Acer Aspire L5100 Minicomputer: Fehleranalyse, diverse Versuche die Daten auf der Festplatte zu retten, leider ohne Erfolg","","Dienstleistung","","","","","0","0","psch","30.00","0.00","300.00","0.00","0.00","0.00","0.00","0 kg","","","","25.07.2011","","","","","","07.07.2008","nein","0.00","0.00","0.00","","","","","","","","","","","","",""
"","","","","","","","","","","","","","0.00","","0.00","","","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"003833","W","ACER ASPIRE M1641","","","","","","","0","0","Stck","0.00","0.00","60.00","0.00","0.00","0.00","0.00","15 kg","","","","","","","","","","06.11.2019","ja","0.00","0.00","0.00","","Acer","455","185","380","","","","","","","",""
"","","","","","","","","","","","","","0.00","","0.00","","","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"003070","W","Acer Aspire M3800","","","","","","","1","0","Stck","0.00","0.00","70.00","70.00","0.00","0.00","0.00","10.5 kg","","","","","","","","","","06.11.2019","ja","0.00","0.00","0.00","","Acer","390","180","400","","","","","","","",""
"","","","","","","","","","","","","","0.00","","70.00","","","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7009","W","Acer Aspire M5811","","","","","","","1","0","Stck","0.00","0.00","0.00","0.00","0.00","0.00","0.00","2 kg","","","","","","","","","","02.10.2025","ja","0.00","0.00","0.00","","Acer","420","180","380","","Leeres Gehäuse","Einer Kartenleser.","Computer_und_Komplettsysteme","yes","Standard-PC","",""
"","","","","","","","","","","","","","0.00","","0.00","","","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"K1178","W","Acer Aspire M5811 4 GB Ram, 500 GB Festplatte, mit Geforce gtx 550 Ti Grafikkarte, MX Linux installiert","","Kundengerät","","","","","0","0","Stck","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0 kg","","","","20.08.2025","","","","","","20.08.2025","nein","0.00","0.00","0.00","","","","","","","","","","","","",""
"","","","","","","","","","","","","","0.00","","0.00","","","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"002623","W","Acer Aspire M5811 4 GB Ram, 500 GB Festplatte, mit Geforce gtx 550 Ti Grafikkarte, MX Linux installiert","","","","","","","1","0","Stck","0.00","0.00","150.00","150.00","0.00","0.00","0.00","12 kg","","","","15.05.2023","","","","","","06.11.2019","ja","0.00","0.00","0.00","","Acer","435","185","375","","","","","","","",""
"002623","W","Acer Aspire M5811 4 GB Ram, 500 GB Festplatte, mit Geforce gtx 550 Ti Grafikkarte, MX Linux installiert","","","","","","","1","0","Stck","0.00","0.00","150.00","150.00","0.00","0.00","0.00","12 kg","","","","15.05.2023","PTSDGE204300505CCE2700","","","","","06.11.2019","ja","0.00","0.00","0.00","","Acer","435","185","375","","","","","","","",""
"","","","","","","","","","","","","","0.00","","300.00","","","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"K1019","W","Acer Aspire MC605","S/N: DTSM1EY004308036FF3000","Kundengerät","","","","","0","0","Stck","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0 kg","","","","07.12.2023","DTSM1EY004308036FF3000","","","","","07.12.2023","nein","0.00","0.00","0.00","Tobler Thomas","","","","","","","","","","","",""
"","","","","","","","","","","","","","0.00","","0.00","","","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"P60","W","Acer Aspire One","","Computer Occasion","","","","","0","0","Stck","0.00","0.00","300.00","0.00","405.00","0.00","0.00","0 kg","","","","17.05.2024","","","","","","30.04.2009","nein","0.00","0.00","0.00","","","","","","","","","","","","",""
"","","","","","","","","","","","","","0.00","","0.00","","","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"019163","W","Acer Aspire One Happy 2 (AOHAPPY2)","","","","","","","1","0","Stck","229.00","229.00","86.00","86.00","0.00","0.00","0.00","1.13 kg","","","","","","","","","","03.02.2026","ja","0.00","0.00","0.00","","Acer","260","184","28","","Der Acer Aspire One Happy 2 (Modell AOHAPPY2) ist ein kompakt-leichtes Netbook mit einem 10,1-Zoll-WSVGA-Display, einem dual-Core-Intel-Atom-N570-Prozessor, 1 GB DDR3-RAM und einer 250 GB-HDD. Es bietet WLAN, Bluetooth 3.0+ und einen 0,3-MP-Webcam sowie ein schlankes, leichtes Design – ideal für unterwegs.","<p>Das Acer Aspire One Happy 2 (AOHAPPY2) wurde 2010 eingeführt und richtet sich an preisbewusste Anwender, die ein schlankes, leichtes Gerät für grundlegende Büro- und Medienanwendungen benötigen. Das 10,1-Zoll-WSVGA-Display (1024 × 600 Pixel) verfügt über LED-Backlight und eine 5:3-Seitenverhältnis-Vergrößerung, die für ein angenehmes Seherlebnis sorgt. Der dual-Core-Intel-Atom-N570-Prozessor läuft mit 1,66 GHz (Turbo-Boost bis 1,7 GHz) und ist mit Intel-GMA-3150-Grafik ausgestattet. Das Gerät wird von 1 GB DDR3-RAM (PC3-8500, 1066 MHz) unterstützt und kann durch Einbau eines zweiten Slots auf 2 GB ausgeweitet werden. Speicherplatz bietet die 250 GB-HDD, die im 5400 rpm-Modell erhältlich ist. Per Wi-Fi 802.11 b/g/n, Bluetooth 3.0+ und optionalem 3G-Modem ist die Konnektivität gewährleistet. Das Gerät ist mit Windows 7 Starter ausgeliefert, kann aber auch auf Windows 10 aktualisiert werden (obwohl die Leistung bei neueren Betriebssystemen stark beeinträchtigt sein kann). Das Netbook weicht mit einer Gesamthöhe von ca. 28 mm (2,8 cm) und einem Gewicht von 1,13 kg (2,5 lb) im Bereich der leichtesten Netbooks seiner Zeit.</p>","Laptop_und_Zubehör","true","Netbook","",""
"","","","","","","","","","","","","","229.00","","86.00","","","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"004935","W","Acer Aspire One KAV60, 8.9""","","","","","","","1","0","Stck","0.00","0.00","110.00","110.00","0.00","0.00","0.00","0 kg","","","","11.11.2022","","","","","","28.07.2022","ja","0.00","0.00","0.00","","Acer","0","0","0","","","","","","","",""
"","","","","","","","","","","","","","0.00","","110.00","","","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"004476","W","Acer Aspire ONE ZE6, 10,1""","","","","","","","1","0","Stck","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0 kg","","","","","","","","","","15.03.2022","ja","0.00","0.00","0.00","","Acer","190","256","25","","","","","","","",""
"","","","","","","","","","","","","","0.00","","0.00","","","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"K0843","W","Acer Aspire one ZG5","S/N: LUS360B03484506DC12535 Zubehör: Netzteil","Kundengerät","","","","","0","0","Stck","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0 kg","","","","20.01.2022","LUS360B03484506DC12535","","","","","20.01.2022","nein","0.00","0.00","0.00","Biedermann Martin","","","","","","","","","","","",""
"K0843","W","Acer Aspire one ZG5","S/N: LUS360B03484506DC12535 Zubehör: Netzteil","Kundengerät","","","","","0","0","Stck","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0 kg","","","","11.02.2022","LUS360B03484506DC12535","","","","","20.01.2022","nein","0.00","0.00","0.00","Biedermann Martin","","","","","","","","","","","",""
"","","","","","","","","","","","","","0.00","","0.00","","","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"001998","W","Acer Aspire T120E-S97Z","","","","","","","0","0","Stck","0.00","0.00","50.00","0.00","0.00","0.00","0.00","10 kg","","","","","","","","","","06.11.2019","ja","0.00","0.00","0.00","","Acer","0","180","360","","","","","","","",""
"","","","","","","","","","","","","","0.00","","0.00","","","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"002540","W","Acer Aspire T130","","","","","","","0","0","Stck","0.00","0.00","50.00","0.00","0.00","0.00","0.00","0 kg","","","","","","","","","","06.11.2019","ja","0.00","0.00","0.00","","Acer","0","0","0","","","","","","","",""
"","","","","","","","","","","","","","0.00","","0.00","","","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"006607","W","Acer Aspire V5-122P","","","","","","","2","0","Stck","0.00","0.00","300.00","600.00","0.00","0.00","0.00","1.8 kg","","","","","","","","","","20.06.2024","ja","0.00","0.00","0.00","","Acer","210","290","20","","","","","","","",""
"","","","","","","","","","","","","","0.00","","600.00","","","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"001997","W","Acer Aspire V5-131 mit MX Linux","","","","","","","0","0","Stck","0.00","0.00","200.00","0.00","0.00","0.00","0.00","1.38 kg","","","","14.01.2022","","","","","","06.11.2019","ja","0.00","0.00","0.00","","Acer","202","285","27.4","","","","","","","",""
"001997","W","Acer Aspire V5-131 mit MX Linux","","","","","","","0","0","Stck","0.00","0.00","200.00","0.00","0.00","0.00","0.00","1.38 kg","","","","21.01.2022","","","","","","06.11.2019","ja","0.00","0.00","0.00","","Acer","202","285","27.4","","","","","","","",""
"","","","","","","","","","","","","","0.00","","0.00","","","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"K0530","W","Acer Aspire V5-531","","Kundengerät","","","","","0","0","Stck","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0 kg","","","","27.08.2018","","","","","","27.08.2018","nein","0.00","0.00","0.00","","","","","","","","","","","","",""
"","","","","","","","","","","","","","0.00","","0.00","","","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
